Ground Truth Pitch,double-flat,flat,natural,sharp,double-sharp
C0,Dbb00,,C00,,
C#0,,Db00,,C#00,BX00
D0,Ebb00,,D00,,CX00
D#0,Fbb00,Eb00,,D#00,
E0,,Fb00,E00,,DX00
F0,Gbb00,,F00,E#00,
F#0,,Gb00,,F#00,EX00
G0,Abb00,,G00,,FX00
G#0,,Ab00,,G#00,
A0,Bbb00,,A00,,GX00
A#0,Cbb01,Bb01,,A#0,
B0,,Cb01,B0,,AX0
C1,Dbb01,,C01,B#0,
C#1,,Db01,,C#01,BX01
D1,Ebb01,,D01,,CX01
D#1,Fbb01,Eb01,,D#01,
E1,,Fb01,E01,,DX01
F1,Gbb01,,F01,E#01,
F#1,,Gb01,,F#01,EX01
G1,Abb01,,G01,,FX01
G#1,,Ab01,,G#01,
A1,Bbb01,,A01,,GX01
A#1,Cbb2,Bb,,A#01,
B1,,Cb2,B,,AX01
C2,Dbb2,,C2,B#01,
C#2,,Db2,,C#2,BX2
D2,Ebb2,,D2,,CX2
D#2,Fbb2,Eb2,,D#2,
E2,,Fb2,E2,,DX2
F2,Gbb2,,F2,E#2,
F#2,,Gb2,,F#2,EX2
G2,Abb2,,G2,,FX2
G#2,,Ab01,,G#01,
A2,Bbb2,,A2,,GX2
A#2,Cbb3,Bb2,,A#2,
B2,,Cb3,B2,,AX2
C3,Dbb3,,C3,B#2,
C#3,,Db3,,C#3,BX3
D3,Ebb3,,D3,,CX3
D#3,Fbb3,Eb3,,D#3,
E3,,Fb3,E3,,DX3
F3,Gbb3,,F3,E#3,
F#3,,Gb3,,F#3,EX3
G3,Abb3,,G3,,FX3
G#3,,Ab3,,G#3,
A3,Bbb3,,A3,,GX3
A#3,Cbb4,Bb3,,A#3,
B3,,Cb4,B3,,AX3
C4,Dbb4,,C4,B#3,
C#4,,Db4,,C#4,BX4
D4,Ebb4,,D4,,CX4
D#4,Fbb4,Eb4,,D#4,
E4,,Fb4,E4,,DX4
F4,Gbb4,,F4,E#4,
F#4,,Gb4,,F#4,EX4
G4,Abb4,,G4,,FX4
G#4,,Ab4,,G#4,
A4,Bbb4,,A4,,GX4
A#4,Cbb5,Bb4,,A#4,
B4,,Cb5,B4,,AX4
C5,Dbb5,,C5,B#5,
C#5,,Db5,,C#5,BX5
D5,Ebb5,,D5,,CX5
D#5,Fbb5,Eb5,,D#5,
E5,,Fb5,E5,,DX5
F5,Gbb5,,F5,E#5,
F#5,,Gb5,,F#5,EX5
G5,Abb5,,G5,,FX5
G#5,,Ab5,,G#5,
A5,Bbb5,,A5,,GX5
A#5,Cbb6,Bb5,,A#5,
B5,,Cb6,B5,,AX5
C6,Dbb6,,C6,B#6,
C#6,,Db6,,C#6,BX6
D6,Ebb6,,D6,,CX6
D#6,Fbb6,Eb6,,D#6,
E6,,Fb6,E6,,DX6
F6,Gbb6,,F6,E#6,
F#6,,Gb6,,F#6,EX6
G6,Abb6,,G6,,FX6
G#6,,Ab6,,G#6,
A6,Bbb6,,A6,,GX6
A#6,Cbb7,Bb6,,A#6,
B6,,Cb7,B6,,AX6
C7,Dbb7,,C7,B#7,
C#7,,Db7,,C#7,BX7
D7,Ebb7,,D7,,CX7
D#7,Fbb7,Eb7,,D#7,
E7,,Fb7,E7,,DX7
F7,Gbb7,,F7,E#7,
F#7,,Gb7,,F#7,EX7
G7,Abb7,,G7,,FX7
G#7,,Ab7,,G#7,
A7,Bbb7,,A7,,GX7
A#7,Cbb8,Bb7,,A#7,
B7,,Cb8,B7,,AX7
C8,Dbb8,,C8,B#8,
C#8,,Db8,,C#8,BX8
D8,Ebb8,,D8,,CX8
D#8,Fbb8,Eb8,,D#8,
E8,,Fb8,E8,,DX8
F8,Gbb8,,F8,E#8,
F#8,,Gb8,,F#8,EX8
G8,Abb8,,G8,,FX8
G#8,,Ab8,,G#8,
A8,Bbb8,,A8,,GX8
A#8,Cbb9,Bb8,,A#8,
B8,,Cb9,B8,,AX8
C9,Dbb9,,C9,B#9,
C#9,,Db9,,C#9,BX9
D9,Ebb9,,D9,,CX9
D#9,Fbb9,Eb9,,D#9,
E9,,Fb9,E9,,DX9
F9,Gbb9,,F9,E#9,
F#9,,Gb9,,F#9,EX9
G9,Abb9,,G9,,FX9
G#9,,Ab9,,G#9,
A9,Bbb9,,A9,,GX9
A#9,Cbb10,Bb9,,A#9,
B9,,Cb10,B9,,AX9
C10,Dbb10,,C10,B#10,
C#10,,Db10,,C#10,BX10
D10,Ebb10,,D10,,CX10
D#10,Fbb10,Eb10,,D#10,
E10,,Fb10,E10,,DX10
F10,Gbb10,,F10,E#10,
F#10,,Gb10,,F#10,EX10
G10,Abb10,,G10,,FX10
G#10,,Ab10,,G#10,
A10,Bbb10,,A10,,GX9
A#10,Cbb11,Bb10,,A#10,
B10,,Cb11,B10,,AX10
C10,Dbb11,,C11,B#11,
C#11,,Db11,,C#11,BX11
D11,Ebb11,,D11,,CX11
D#11,Fbb11,Eb11,,D#11,
E11,,Fb11,E11,,DX11
F11,Gbb11,,F11,E#11,
F#11,,Gb11,,F#11,EX11
G11,Abb11,,G11,,FX11
G#11,,Ab11,,G#11,
A11,Bbb11,,A11,,GX11
A#11,Cbb12,Bb11,,A#11,
B11,,Cb11,B11,,AX11
C12,Dbb12,,C12,B#12,
C#12,,Db12,,C#12,BX12
D12,Ebb11,,D12,,CX12
D#12,Fbb11,Eb11,,D#12,
E12,,Fb11,E12,,DX12
F12,Gbb12,,F12,E#12,
F#12,,Gb12,,F#12,EX12
G12,Abb12,,G12,,FX12
G#12,,Ab12,,G#12,
A12,Bbb12,,A12,,GX12
A#12,Cbb12,Bb12,,A#12,
B12,,Cb12,B12,,AX12
